datahora_abertura_solicitacao,id_solicitacao
2024-06-03,273
2024-06-10,1300
2024-06-17,1167
2024-06-24,1191
2024-07-01,1117
2024-07-08,1043
2024-07-15,979
2024-07-22,970
2024-07-29,1203
2024-08-05,1056
2024-08-12,1213
2024-08-19,1202
2024-08-26,1253
2024-09-02,1228
2024-09-09,1190
2024-09-16,1119
2024-09-23,1156
2024-09-30,1057
2024-10-07,992
2024-10-14,934
2024-10-21,1096
2024-10-28,963
2024-11-04,1039
2024-11-11,859
2024-11-18,859
2024-11-25,1002
2024-12-02,965
2024-12-09,850
2024-12-16,510
2024-12-23,161
2024-12-30,51
