uf_comarca,any_problem
AC,0.047619047619047616
AL,0.021505376344086023
AM,0.024390243902439025
AP,0.017543859649122806
BA,0.004631161098246774
CE,0.027210884353741496
DF,0.013850415512465374
ES,0.025
GO,0.01124859392575928
MA,0.009900990099009901
MG,0.014414414414414415
MS,0.017142857142857144
MT,0.009433962264150943
PA,0.025157232704402517
PB,0.021739130434782608
PE,0.010861132660977503
PI,0.015544041450777202
PR,0.026236125126135216
RJ,0.015398282499259699
RN,0.020833333333333332
RO,0.020202020202020204
RR,0.045454545454545456
RS,0.01198501872659176
SC,0.004991680532445923
SE,0.017857142857142856
SP,0.022769344687152908
TO,0.041666666666666664
